"lon";"lat";"species";"cells";"wcbio_02";"wcbio_05";"wcbio_09";"wcbio_12";"wcbio_17";"wcbio_18"
-40,071853011446;-19,3949002236543;"Pilocarpus grandiflorus";3913;26,0400009155273;188;145;9,20766639709473;15,1600008010864;25,1813335418701
-40,588333;-19,865833;"Tibouchina radula";4978;23,4153327941895;200;159;10,1593332290649;16,1720008850098;22,5726661682129
-40,071853011446;-19,3949002236543;"Heisteria perianthomega";3913;26,0400009155273;188;145;9,20766639709473;15,1600008010864;25,1813335418701
-42,868031;-20,761343;"Mimosa velloziana";7080;22,1860008239746;249;64;12,1423330307007;19,7799987792969;21,3126678466797
-40,878056;-19,233889;"Leandra multiplinervis";3501;23,7486667633057;195;117;10,9916667938232;16,9280014038086;22,9286670684814
-39,7994;-19,5689;"Psychotria carthagenensis";4311;25,9466667175293;185;180;8,3953332901001;14,1960010528564;25,0566673278809
-43,4;-19;"Psittacanthus robustus";2853;22,5386657714844;289;40;12,0950002670288;19,1560001373291;22,0913333892822
-41,83;-19,67;"Miconia trianae";4557;24,2373332977295;212;71;11,9460000991821;18,4320011138916;23,4606666564941
-40,08;-19,22;"Lecythis pisonis";3521;26,0179996490479;184;153;9,64300060272217;15,6000003814697;25,1866683959961
-40,071853011446;-19,3949002236543;"Inga subnuda";3913;26,0400009155273;188;145;9,20766639709473;15,1600008010864;25,1813335418701
-43,4248788829597;-19,0409924221712;"Hirtella glandulosa";2950;23,0553340911865;284;40;12,485333442688;19,7000007629395;22,6140003204346
-43,5082859302814;-20,2916151948885;"Abutilon inaequilaterum";5888;20,2320003509521;310;61;11,1763334274292;17,4879989624023;19,6873321533203
-43,473094;-20,427823;"Cyperus haspan";6281;19,3106670379639;306;68;11,235333442688;17,6119995117188;18,771333694458
-42,163961;-20,235844;"Lantana nivea";5823;21,3466663360596;237;75;12,8416662216187;19,9839992523193;20,6273345947266
-43,351;-18,4489;"Casearia arborea";1580;20,0639991760254;286;43;10,5723333358765;16,515998840332;19,6053333282471
-43,492778;-20,1263;"Leandra erostrata";5595;19,6679992675781;319;59;11,2843332290649;17,576000213623;19,1413326263428
-42,0425;-20,0422;"Meteoridium remotifolium";5433;19,703332901001;246;91;12,0303335189819;18,7880001068115;19,017333984375
-43,492778;-20,1263;"Ipomoea saopaulista";5595;19,6679992675781;319;59;11,2843332290649;17,576000213623;19,1413326263428
-42,868031;-20,761343;"Guarea kunthiana";7080;22,1860008239746;249;64;12,1423330307007;19,7799987792969;21,3126678466797
-40,5911;-19,9086;"Blechnum occidentale";5076;22,5433330535889;201;165;10,0693330764771;16,1119995117188;21,6919994354248
-42,868031;-20,761343;"Palicourea marcgravii";7080;22,1860008239746;249;64;12,1423330307007;19,7799987792969;21,3126678466797
-43,492778;-20,1263;"Drosera montana";5595;19,6679992675781;319;59;11,2843332290649;17,576000213623;19,1413326263428
-42,868031;-20,761343;"Leonurus sibiricus";7080;22,1860008239746;249;64;12,1423330307007;19,7799987792969;21,3126678466797
-42,62;-19,73;"Swartzia apetala";4636;25,1053333282471;248;37;11,635666847229;18,2519989013672;24,335334777832
-43,492778;-20,1263;"Clitoria falcata";5595;19,6679992675781;319;59;11,2843332290649;17,576000213623;19,1413326263428
-42,7768359408608;-19,8469078537136;"Senna multijuga";4926;23,9213333129883;271;44;11,989333152771;18,8720016479492;23,2239990234375
