"est";"id";"scientificName";"names_wo_author"
"MG";138374;"Cladonia metaminiata S. Stenroos & Ahti";"Cladonia metaminiata"
"MG";138375;"Witheringia picta Mart.";"Witheringia picta"
"MG";138377;"Cladonia minarum Ahti";"Cladonia minarum"
"MG";138379;"Withania martiana (Sendtn.) Dunal";"Withania martiana"
"MG";138381;"Cladonia miniata G. Mey.";"Cladonia miniata"
"MG";138383;"Cladonia nana Vain.";"Cladonia nana"
"MG";138390;"Cladonia obtecta Ahti";"Cladonia obtecta"
"MG";138393;"Cladonia ochracea L. Scriba";"Cladonia ochracea"
"MG";138394;"Utricularia leptantha Benj.";"Utricularia leptantha"
"MG";138395;"Rhizopus oligosporus Saito";"Rhizopus oligosporus"
"MG";138397;"Zygorhynchus japonicus Komin.";"Zygorhynchus japonicus"
"MG";138398;"Cladonia ochrochlora Flörke";"Cladonia ochrochlora"
"MG";138400;"Cladonia palmicola Ahti & Fleig";"Cladonia palmicola"
